Current icon name,Font Awesome 5 icon name
911History,
About-Us,info-circle
Accessibility,wheelchair
Accomplishments,trophy
Administration,users
AdoptAPet,paw
AfterPetition,
Airlines,plane-alt
Airport,plane-alt
Air-Quality,
Alerts,exclamation-triangle
AlertUpdates,bell
AltFuels,
Animal,paw
Applications,edit
AppNavId,
Arrivals,
ArtHistory,paint-brush
Arts,paint-brush
AssistanceCenters,life-ring
ATMMachine,dollar-sign
AtRisk,bullhorn
A-Z-Guide,
Benefits,medkit
Boards,users
BoilWater,
BoostCareer,
Broward100,
BrowardNext,
Budget,dollar-sign
BusinessInBroward,handshake
Bus-Pass-Purchase,credit-card-blank
ByLandBySea,
Calculator,calculator
Calendar,calendar-alt
Camping,
CatalogSearch,search
Certification,certificate
CertificationReversed,certificate
CertifiedFirmDirectories,certificate
ChildServices,child
CityUpdates,exclamation-circle
Climate-Change,snow-flake
COA,
CommissionFindADistrict,search
CommissionMeetingsLive,wifi
CommissionVisionMissionGoals,bullseye
Community,users
CommunityPartners,handshake
Contact-Us,comment
Credit,credit-card
Cruise,ship
Cultural,paint-brush
Curfews,moon
CurrentBids,usd-circle
CustomerService,phone-square
Departures,
Dine-Shop,utensils-alt
Disaster,exclamation-triangle
Document,file
Downloads,cloud-download
Drawbridge,
EAP-Icon,
EasyPay,usd-circle
Easy-Pay,usd-circle
eBooks,book
Economics,chart-line
eCountyline,rss
Emergency,exclamation-triangle
EmergencyPlan,file-exclamation
EmotionalWellness,thumbs-up
EnergySense,lightbulb
EngineeringProjectMgt,clipboard
Environment,tree-alt
Exhibitors,
Facebook,facebook
Family-Plan,child
FAQ,question-circle
FAQs,question-circle
Feedback,comment
Fees,money-bill
FieldCollectionTeam,
FieldOpps,
FilingPetition,edit
Finance-Admin,university
FinancialWellness,usd-circle
Find-Agency,search
Find-A-Library,search
Find-A-Park,search
Find-Service,search
FireRescueCouncil,fire
Fleet,truck
FLL-App,mobile
FunctionsResponsibilities,
GeneratorReadyBusinesses,battery-bolt
Generators,battery-bolt
GoGreen,leaf
Go-Green,leaf
GovMeetings,users
GreaterFTL,
Greenways,leaf
HealthAccounts,medkit
Healthy-County-Drug-Program,
Healthy-County-Emergency,exclamation-triangle
Healthy-County-Registry,
Healthy-County-Wellness,
Hearings,gavel
HomeDamage,
Homeless,
Hospitals,hospital
Hotels,bed
Housing,home
Hurricane,
Hurricane-Alerts,
Hurricane-Center,
Hurricane-Shelters,
HV-Icon,
Imagine,
Infrastructure,database
Investigations,search
JobBusiness,briefcase
Journey,map-signs
Lab,flask
Land-Preservation,
Legal_Docs,balance-scale
LibLocation,book
Library,book
LibraryCard,credit-card-blank
Lobbyist,
Login,sign-in-alt
LostPets,paw
Maps,map
MapsRenderings,map
MarketingTools,filter
MasterPlan,bullseye
Meetings,users
MeetingsSchedule,calendar-alt
Members,users
Mosquito,
MyAccount,user-circle
NancyCottermanCenter,
NationalHurricaneCenter,
NatureScape,leaf
News,newspaper
NewsCenter,newspaper
Newsletter,newspaper
Newsmakers,newspaper
OnlinePayment,credit-card
Online-Services,cloud
OpenClosed,
Open-Government,users
PalmTrees,
Parking,car
Parks,tree
Pathology,
Payment-Search,search
PerformingArts,
Photo,camera
PhysicalWellnessIcon,bicycle
PlaceHolder,anchor
PoliciesProcedures,file-check
Port-Everglades,ship
PreparednessGuide,file-check
PrintServices,print
Proclamations,rss
Procurement,
ProgramUpdates,exclamation-circle
ProjectDescription,info-circle
ProjectFacts,list
ProjectHistory,history
ProjectTimeline,calendar
ProjectUpdates,calendar-exclamation
Public-meetings,users
PublicSafetyCommittee,users
QualityAssurance,certificate
Recognitions,trophy
Records,archive
Recycle,recycle
Recycling,recycle
Redevelopment,redo
RegisterNow,
RegistrationTags,tags
Rentals,key
Representation,users
RequestAssistance,phone-square
Responder,ambulance
RyanWhite,
SchoolUpdates,graduation-cap
Shopping-Guide,shopping-bag
SpayNeuter,neuter
Speakers,microphone
SpeakersBureau,users
Sponsors,gift
Street,road
Subscription,rss
Suggestions,comment
Sustainability,
SustainabilityFoot,
Swimming,
System-Map,map
Testimonials,quote-left
Testimonials2,quote-right
Things-To-Do,tasks
TNC_Company,
TNC_Driver,
Toilet,
ToolKit,wrench
Toxicology,
TrafficLight,
Transit-Flash,
Transit-Watch,
Transportation,
Transportation2,
Transportation-Airport,
TrashServices,trash
TransportationUpdates,bell
Trauma,heartbeat
Travel-Assist,compass
Trip-Planning,map-signs
Tutoring,graduation-cap
Updates,bell
VehicleInspections,car
Vet,paw
Video,video
Visitors-Guide,map
Volunteer,gift
Water-Conservation,tint
WaterQuality,tint
Weather-Service,umbrella
WhatsNewEnrollment,calendar-plus
WhatsNext,calendar
WhosWho,user-circle
Workshops,industry-alt
WOWIcon,
WOWPhone,mobile
WOWTablet,tablet
Youth,child
